id_article,editorial_place,city,edition,editor
1,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
4,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
19,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
79,Academic Press,New York,3rd ed.,"Boyer, P.D.  (Ed.)"
99,Academic Press,New York,3rd ed.,"Boyer, P.D.  (Ed.)"
114,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
123,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
557,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K.  (Eds.)"
777,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
781,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
807,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1033,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1036,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1040,NULL,NULL,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1058,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1062,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K.  (Eds.)"
1068,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1073,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1076,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1553,Plenum Press,New York,2nd ed.,"Martonosi, A. (Ed.)"
1600,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1621,NULL,NULL,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1690,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1693,Academic Press,New York,3rd ed.,"Boyer, P.D.  (Ed.)"
1695,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
1700,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
1740,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K.  (Eds.)"
1746,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K.  (Eds.)"
1747,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1796,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2002,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2047,Wiley,New York,2nd ed.,"Martonosi, A.N. (Ed.)"
2072,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2078,Wiley,New York,2nd ed.,"Martonosi, A.N.  (Ed.)"
2085,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2089,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2093,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2200,Academic Press,New York,th ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2209,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2372,Academic Press,New York,1st ed.,"Sumner, J.B. and Myrbaeck, K. (Eds.)"
2379,Academic Press,New York,1st ed.,"Sumner, J.B. and Myrbaeck, K.  (Eds.)"
2381,Academic Press,New York,3rd ed.,"Boyer, P.D.  (Ed.)"
2446,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2449,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2610,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2614,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2623,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2628,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2633,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
3551,Academic Press,New York,1st ed.,"Sumner, J.B. and Myrbaeck, K. (Eds.)"
3792,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
4704,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
4713,NULL,NULL,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
4715,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
4716,Academic Press,New York,3rd ed.,"Boyer, P.D.  (Ed.)"
4851,ASM Press,Washington DC,2nd ed.,"Neidhardt, F.C. (Ed.)"
4887,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
5107,ASM Press,Washington DC,2nd ed.,"Neidhardt, F.C. (Ed.)"
5114,ASM Press,Washington DC,2nd ed.,"Neidhardt, F.C. (Ed.)"
5359,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
5362,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
5374,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
5996,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
6001,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
6843,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
7117,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
7144,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
7151,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
8172,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
8177,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
8195,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
8217,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
8366,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
8511,Ellis Horwood Ltd.,"Chichester, UK",2nd ed.,"Reiner, E., Aldridge, W.N. and Hoskin, C.G. (Eds.)"
8540,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
8543,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
8643,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
8644,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
8661,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
8664,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
8668,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
8677,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
8699,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
8701,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
8711,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
8716,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
8723,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
8733,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
8741,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
8750,Academic Press,New York,2nd ed.,"Boyer, P.D., in Lardy, H. and Myrbaeck, K. (Eds.)"
8760,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
8764,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
8775,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
9213,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
9251,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
9675,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
9703,J.B. Lippincott Company,Philadelphia,2nd ed.,"Handin, R.I., Lux, S.E. and Stossel, J.P. (Eds.)"
9715,J.B. Lippincott Company,Philadelphia,2nd ed.,"Handin, R.I., Lux, S.E. and Stossel, J.P. (Eds.)"
9874,Elsevier,London,2nd ed.,"Barrett, A.J., Rawlings, N.D. and Woessner, J.F (Eds.)"
9927,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
10045,Elsevier,London,2nd ed.,"Barrett, A.J., Rawlings, N.D. and Woessner, J.F. (Eds.)"
10068,Elsevier,London,2nd ed.,"Barrett, A.J., Rawlings, N.D. and Woessner, J.F. (Eds.)"
10074,Elsevier,London,2nd ed.,"Barrett, A.J., Rawlings, N.D. and Woessner, J.F. (Eds.)"
10081,Elsevier,London,2nd ed.,"Barrett, A.J., Rawlings, N.D. and Woessner, J.F. (Eds.)"
10091,Elsevier,London,2nd ed.,"Barrett, A.J., Rawlings, N.D. and Woessner, J.F. (Eds.)"
10097,Elsevier,London,2nd ed.,"Barrett, A.J., Rawlings, N.D. and Woessner, J.F. (Eds.)"
10105,Elsevier,London,2nd ed.,"Barrett, A.J., Rawlings, N.D. and Woessner, J.F. (Eds.)"
10253,Elsevier,London,2nd ed.,"Barrett, A.J., Rawlings, N.D. and Woessner, J.F. (Eds.)"
10549,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
10556,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
10797,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
10800,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
10826,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
11004,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
11731,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
11837,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
11944,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
11946,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K (Eds.)"
11960,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
13151,ASM Press,"Washington, DC",2nd ed.,"Neidhardt, F.C. (Ed.)"
13182,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
13184,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
13188,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
13190,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
13194,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
13196,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
13199,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
13210,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
13258,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
13544,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
13548,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
13615,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
